Collector ID,ID,Site,Tree #,Cone,Cone Length (mm),# Seeds,Total Seed Weight (g) (Wing & Wingless),# Wingless Seed,Total Wingless Seed Weight (g),# Winged Seed,Total Winged Seed Weight (g),# sml immature Seed,Comments,Photo?
B,MD7B,Mid-Dome,7,B,50,58,0.2568,,,,,49,,
B,MD7C,Mid-Dome,7,C,22,92,0.4866,,,,,14,,
B,MD7D,Mid-Dome,7,D,44,59,0.2455,,,,,14,,
B,MD7E,Mid-Dome,7,E,44,69,0.2878,,,,,11,,
B,MD8A,Mid-Dome,8,A,,,,,,,,,Not selected,
B,MD8B,Mid-Dome,8,B,,,,,,,,,Not selected,
B,MD8C,Mid-Dome,8,C,,,,,,,,,Not selected,
B,MD8D,Mid-Dome,8,D,,,,,,,,,Not selected,
B,MD8E,Mid-Dome,8,E,,,,,,,,,Not selected,
C,MD9A,Mid-Dome,9,A,47,104,0.5126,,,,,12,,
C,MD9B,Mid-Dome,9,B,43,91,0.3808,,,,,10,,
C,MD9C,Mid-Dome,9,C,46,90,0.4002,,,,,15,,
C,MD9D,Mid-Dome,9,D,50,81,0.5954,,,,,3,,
C,MD9E,Mid-Dome,9,E,43,96,0.4215,,,,,3,,
C,MD10A,Mid-Dome,10,A,45,40,0.2202,,,,,58,,
C,MD10B,Mid-Dome,10,B,50,47,0.2425,,,,,58,,
C,MD10C,Mid-Dome,10,C,46,,,,,,,,cone didn't open,
C,MD10D,Mid-Dome,10,D,34,3,0.0175,,,,,,"Immature cone, didn't fully open, prised open and lots of immature seed",
C,MD10E,Mid-Dome,10,E,45,9,0.0428,,,,,,"Immature cone, didn't fully open, prised open and lots of immature seed",
C,MD11A,Mid-Dome,11,A,51,8,0.0426,,,,,,"Immature cone, only partially open, prised open and lots of immature seed",
C,MD11B,Mid-Dome,11,B,58,42,0.2392,,,,,,>54 immature seed,
C,MD11C,Mid-Dome,11,C,53,23,0.1203,,,,,,"Immature cone, only partially open, prised open and >30 immature seed",
C,MD11D,Mid-Dome,11,D,61,58,0.269,,,,,55,"didn't fully open, prised open",
C,MD11E,Mid-Dome,11,E,52,32,0.2001,,,,,,"didn't fully open, prised open to reveal mature seed and >45 immature seed",
C,MD12A,Mid-Dome,12,A,,,,,,,,,Not selected,
C,MD12B,Mid-Dome,12,B,,,,,,,,,Not selected,
C,MD12C,Mid-Dome,12,C,,,,,,,,,Not selected,
C,MD12D,Mid-Dome,12,D,,,,,,,,,Not selected,
C,MD12E,Mid-Dome,12,E,,,,,,,,,Not selected,
D,MD13A,Mid-Dome,13,A,57,82,0.3816,,,,,15,,y
D,MD13B,Mid-Dome,13,B,54,68,0.3788,,,,,15,,y
D,MD13C,Mid-Dome,13,C,48,41,0.163,,,,,24,,y
D,MD13D,Mid-Dome,13,D,49,64,0.3121,,,,,4,,y
D,MD13E,Mid-Dome,13,E,54,51,0.2765,,,,,4,,y
D,MD14A,Mid-Dome,14,A,,,,,,,,,Not selected,
D,MD14B,Mid-Dome,14,B,,,,,,,,,Not selected,
D,MD14C,Mid-Dome,14,C,,,,,,,,,Not selected,
D,MD14D,Mid-Dome,14,D,,,,,,,,,Not selected,
D,MD14E,Mid-Dome,14,E,,,,,,,,,Not selected,
D,MD15A,Mid-Dome,15,A,50,98,0.5579,,,,,24,,
D,MD15B,Mid-Dome,15,B,48,79,0.3445,,,,,25,,
D,MD15C,Mid-Dome,15,C,52,78,0.4505,,,,,16,,
D,MD15D,Mid-Dome,15,D,58,88,0.5567,,,,,15,,
