year,collector_id,full_id,full_tree,site,Population,cone_id,serot,cone_length_mm,cone_x,cone_y,no_filled,no_unfilled,tot_seed_wgt_g,mism_g,seed_1_g,seed_2_g,seed_3_g,seed_4_g,seed_5_g,seed_6_g,seed_7_g,seed_8_g,seed_9_g,seed_10_g,no_scal,tot_scale_wt_g,mibm_g,scale_1_g,scale_2_g,scale_3_g,scale_4_g,scale_5_g,scale_6_g,scale_7_g,scale_8_g,scale_9_g,scale_10_g,no_immature
21/22,MS,H14E,H14,Hanmer,B,E,N,39,,,82,,0.3205,0.003908537,,,,,,,,,,,,,,,,,,,,,,,,4
21/22,MS,H15A,H15,Hanmer,B,A,N,42,,,67,,0.2097,0.003129851,,,,,,,,,,,,,,,,,,,,,,,,6
21/22,MS,H15B,H15,Hanmer,B,B,N,41,,,85,,0.2147,0.002525882,,,,,,,,,,,,,,,,,,,,,,,,5
21/22,MS,H15D,H15,Hanmer,B,D,N,47,,,52,,0.1558,0.002996154,,,,,,,,,,,,,,,,,,,,,,,,
21/22,MS,H15E,H15,Hanmer,B,E,N,43,,,44,,0.2581,0.005865909,,,,,,,,,,,,,,,,,,,,,,,,
21/22,MS,H16A,H16,Hanmer,B,A,N,40,,,54,,0.2603,0.00482037,,,,,,,,,,,,,,,,,,,,,,,,7
21/22,MS,H16B,H16,Hanmer,B,B,N,37,,,54,,0.2577,0.004772222,,,,,,,,,,,,,,,,,,,,,,,,10
21/22,MS,H16D,H16,Hanmer,B,D,N,44,,,47,,0.3008,0.0064,,,,,,,,,,,,,,,,,,,,,,,,
21/22,MS,H17A,H17,Hanmer,B,A,N,40,,,103,,0.4006,0.00388932,,,,,,,,,,,,,,,,,,,,,,,,9
21/22,MS,H17B,H17,Hanmer,B,B,N,38,,,116,,0.4282,0.003691379,,,,,,,,,,,,,,,,,,,,,,,,3
21/22,MS,H17C,H17,Hanmer,B,C,N,40,,,110,,0.4182,0.003801818,,,,,,,,,,,,,,,,,,,,,,,,5
21/22,MS,H17D,H17,Hanmer,B,D,N,39,,,91,,0.3819,0.004196703,,,,,,,,,,,,,,,,,,,,,,,,10
21/22,MS,H17E,H17,Hanmer,B,E,N,32,,,72,,0.2529,0.0035125,,,,,,,,,,,,,,,,,,,,,,,,8
21/22,MS,H18C,H18,Hanmer,B,C,N,31,,,58,,0.2117,0.00365,,,,,,,,,,,,,,,,,,,,,,,,
21/22,MS,H18D,H18,Hanmer,B,D,N,35,,,74,,0.3032,0.004097297,,,,,,,,,,,,,,,,,,,,,,,,4
21/22,MS,H18E,H18,Hanmer,B,E,N,28,,,60,,0.2145,0.003575,,,,,,,,,,,,,,,,,,,,,,,,7
21/22,MS,H19A,H19,Hanmer,B,A,N,30,,,43,,0.1653,0.003844186,,,,,,,,,,,,,,,,,,,,,,,,13
21/22,MS,H19B,H19,Hanmer,B,B,N,27,,,51,,0.1941,0.003805882,,,,,,,,,,,,,,,,,,,,,,,,4
21/22,MS,H19C,H19,Hanmer,B,C,N,28,,,42,,0.2095,0.004988095,,,,,,,,,,,,,,,,,,,,,,,,12
21/22,MS,H19D,H19,Hanmer,B,D,N,30,,,49,,0.2479,0.005059184,,,,,,,,,,,,,,,,,,,,,,,,3
21/22,MS,H19E,H19,Hanmer,B,E,N,31,,,74,,0.2754,0.003721622,,,,,,,,,,,,,,,,,,,,,,,,5
21/22,MS,H20A,H20,Hanmer,B,A,N,37,,,85,,0.4629,0.005445882,,,,,,,,,,,,,,,,,,,,,,,,6
21/22,MS,H20B,H20,Hanmer,B,B,N,33,,,61,,0.3205,0.005254098,,,,,,,,,,,,,,,,,,,,,,,,2
21/22,MS,H20C,H20,Hanmer,B,C,N,32,,,49,,0.1283,0.002618367,,,,,,,,,,,,,,,,,,,,,,,,5
21/22,MS,H20D,H20,Hanmer,B,D,N,34,,,53,,0.0135,0.000254717,,,,,,,,,,,,,,,,,,,,,,,,10
21/22,MS,H20E,H20,Hanmer,B,E,N,38,,,70,,0.1414,0.00202,,,,,,,,,,,,,,,,,,,,,,,,1
21/22,MS,H21A,H21,Hanmer,B,A,N,49,,,53,,0.168,0.003169811,,,,,,,,,,,,,,,,,,,,,,,,11
21/22,MS,H21B,H21,Hanmer,B,B,N,45,,,98,,0.041,0.000418367,,,,,,,,,,,,,,,,,,,,,,,,4
21/22,MS,H21C,H21,Hanmer,B,C,N,36,,,96,,0.1336,0.001391667,,,,,,,,,,,,,,,,,,,,,,,,1
21/22,MS,H21D,H21,Hanmer,B,D,N,43,,,65,,0.1761,0.002709231,,,,,,,,,,,,,,,,,,,,,,,,3
21/22,MS,H21E,H21,Hanmer,B,E,N,37,,,93,,0.2518,0.002707527,,,,,,,,,,,,,,,,,,,,,,,,8
21/22,MS,H22A,H22,Hanmer,B,A,N,37,,,91,,0.1539,0.001691209,,,,,,,,,,,,,,,,,,,,,,,,
21/22,MS,H22B,H22,Hanmer,B,B,N,37,,,85,,0.2371,0.002789412,,,,,,,,,,,,,,,,,,,,,,,,7
21/22,MS,H22C,H22,Hanmer,B,C,N,37,,,89,,0.1576,0.001770787,,,,,,,,,,,,,,,,,,,,,,,,4
21/22,MS,H22D,H22,Hanmer,B,D,N,34,,,79,,0.3265,0.004132911,,,,,,,,,,,,,,,,,,,,,,,,9
21/22,MS,H22E,H22,Hanmer,B,E,N,31,,,60,,0.1808,0.003013333,,,,,,,,,,,,,,,,,,,,,,,,3
21/22,MS,H23A,H23,Hanmer,B,A,N,42,,,94,,0.2848,0.003029787,,,,,,,,,,,,,,,,,,,,,,,,
21/22,MS,H23B,H23,Hanmer,B,B,N,42,,,101,,0.1545,0.001529703,,,,,,,,,,,,,,,,,,,,,,,,12
21/22,MS,H23C,H23,Hanmer,B,C,N,40,,,101,,0.2319,0.00229604,,,,,,,,,,,,,,,,,,,,,,,,8
21/22,MS,H23D,H23,Hanmer,B,D,N,36,,,85,,0.2018,0.002374118,,,,,,,,,,,,,,,,,,,,,,,,9
21/22,MS,H23E,H23,Hanmer,B,E,N,43,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,6
21/22,MS,H24A,H24,Hanmer,C,A,N,36,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,11
21/22,MS,H24B,H24,Hanmer,C,B,N,34,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,5
21/22,MS,H24C,H24,Hanmer,C,C,N,34,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,4
21/22,MS,H24D,H24,Hanmer,C,D,N,32,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,7
21/22,MS,H24E,H24,Hanmer,C,E,N,30,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,5
21/22,MS,H25A,H25,Hanmer,C,A,N,35,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,4
