cone_id,tree_id,date_collected,region,longitude,latitude,sprayed,age,years_since_treatment,cone_length,cone_x,cone_y,mature_seed,immature_seed,total_mature_weight,ttc_n,germ_test_n,no_viable,via.,no_germinated,germ.,post_germ_via_n,post_germ_germ.via
93,33,13/12/2023,Hanmer,172.899,-42.4586,sprayed,3,2,NA,NA,NA,55,3,NA,50,NA,50,90.90909091,NA,NA,NA,NA
94,33,13/12/2023,Hanmer,172.8787,-42.4618,sprayed,4,2,NA,NA,NA,59,2,NA,54,NA,54,91.52542373,NA,NA,NA,NA
95,33,13/12/2023,Hanmer,172.8787,-42.4618,sprayed,4,2,NA,NA,NA,65,2,NA,45,NA,45,69.23076923,NA,NA,NA,NA
96,32,13/12/2023,Hanmer,172.8913,-42.4596,sprayed,5,2,NA,NA,NA,67,0,NA,59,NA,59,88.05970149,NA,NA,NA,NA
97,32,13/12/2023,Hanmer,172.8787,-42.4618,sprayed,4,2,NA,NA,NA,68,0,NA,47,NA,47,69.11764706,NA,NA,NA,NA
98,33,13/12/2023,Hanmer,172.8913,-42.4596,sprayed,4,2,NA,NA,NA,62,0,NA,59,NA,58,93.5483871,NA,NA,NA,NA
99,32,13/12/2023,Hanmer,172.8913,-42.4596,sprayed,4,2,NA,NA,NA,54,0,NA,40,NA,40,74.07407407,NA,NA,NA,NA
100,33,13/12/2023,Hanmer,172.8913,-42.4596,sprayed,4,2,NA,NA,NA,58,0,NA,54,NA,54,93.10344828,NA,NA,NA,NA
101,32,13/12/2023,Hanmer,172.8913,-42.4596,sprayed,4,2,NA,NA,NA,41,0,NA,31,NA,31,75.6097561,NA,NA,NA,NA
102,32,13/12/2023,Hanmer,172.8913,-42.4596,sprayed,4,2,NA,NA,NA,63,1,NA,54,NA,54,85.71428571,NA,NA,NA,NA
103,32,13/12/2023,Hanmer,172.8913,-42.4596,sprayed,4,2,NA,NA,NA,58,0,NA,46,NA,46,79.31034483,NA,NA,NA,NA
104,32,13/12/2023,Hanmer,172.8913,-42.4596,sprayed,4,2,NA,NA,NA,70,5,NA,67,NA,67,95.71428571,NA,NA,NA,NA
105,32,13/12/2023,Hanmer,172.8913,-42.4596,sprayed,4,2,NA,NA,NA,64,0,NA,60,NA,59,92.1875,NA,NA,NA,NA
106,33,13/12/2023,Hanmer,172.8913,-42.4596,sprayed,4,2,NA,NA,NA,67,0,NA,65,NA,64,95.52238806,NA,NA,NA,NA
107,33,13/12/2023,Hanmer,172.8913,-42.4596,sprayed,4,2,NA,NA,NA,68,0,NA,66,NA,66,97.05882353,NA,NA,NA,NA
108,32,13/12/2023,Hanmer,172.8913,-42.4596,sprayed,4,2,NA,NA,NA,72,0,NA,64,NA,64,88.88888889,NA,NA,NA,NA
109,33,13/12/2023,Hanmer,172.8913,-42.4596,sprayed,4,2,NA,NA,NA,48,1,NA,46,NA,46,95.83333333,NA,NA,NA,NA
110,33,13/12/2023,Hanmer,172.8913,-42.4596,sprayed,4,2,NA,NA,NA,45,0,NA,42,NA,42,93.33333333,NA,NA,NA,NA
111,33,13/12/2023,Hanmer,172.8913,-42.4596,sprayed,4,2,NA,NA,NA,64,0,NA,61,NA,61,95.3125,NA,NA,NA,NA
112,33,13/12/2023,Hanmer,172.8913,-42.4596,sprayed,4,2,NA,NA,NA,66,0,NA,54,NA,54,81.81818182,NA,NA,NA,NA
113,33,13/12/2023,Hanmer,172.8913,-42.4596,sprayed,4,2,NA,NA,NA,77,0,NA,71,NA,71,92.20779221,NA,NA,NA,NA
114,33,13/12/2023,Hanmer,172.8913,-42.4596,sprayed,4,2,NA,NA,NA,84,0,NA,80,NA,80,95.23809524,NA,NA,NA,NA
115,33,13/12/2023,Hanmer,172.8913,-42.4596,sprayed,4,2,NA,NA,NA,70,2,NA,60,NA,60,85.71428571,NA,NA,NA,NA
116,33,13/12/2023,Hanmer,172.8913,-42.4596,sprayed,4,2,NA,NA,NA,52,3,NA,43,NA,43,82.69230769,NA,NA,NA,NA
117,34,6/12/2023,Mid Dome,168.5080235,-45.6120335,sprayed,2,2,NA,NA,NA,78,2,NA,62,NA,62,79.48717949,NA,NA,NA,NA
118,34,6/12/2023,Mid Dome,168.5080235,-45.6120335,sprayed,2,2,NA,NA,NA,75,0,NA,66,NA,66,88,NA,NA,NA,NA
119,26,6/12/2023,Mid Dome,168.5080235,-45.6120335,sprayed,10,8,NA,NA,NA,45,0,NA,35,NA,35,77.77777778,NA,NA,NA,NA
120,26,6/12/2023,Mid Dome,168.5080235,-45.6120335,sprayed,10,8,NA,NA,NA,81,3,NA,61,NA,60,74.07407407,NA,NA,NA,NA
121,26,6/12/2023,Mid Dome,168.5080235,-45.6120335,sprayed,10,8,NA,NA,NA,54,0,NA,36,NA,36,66.66666667,NA,NA,NA,NA
122,25,6/12/2023,Mid Dome,168.5080235,-45.6120335,sprayed,10,8,NA,NA,NA,72,4,NA,67,NA,66,91.66666667,NA,NA,NA,NA
123,29,6/12/2023,Mid Dome,168.5080235,-45.6120335,sprayed,10,8,NA,NA,NA,81,6,NA,68,NA,68,83.95061728,NA,NA,NA,NA
124,29,6/12/2023,Mid Dome,168.5080235,-45.6120335,sprayed,10,8,NA,NA,NA,65,2,NA,57,NA,57,87.69230769,NA,NA,NA,NA
125,29,6/12/2023,Mid Dome,168.5080235,-45.6120335,sprayed,10,8,NA,NA,NA,73,2,NA,63,NA,63,86.30136986,NA,NA,NA,NA
126,28,6/12/2023,Mid Dome,168.5080235,-45.6120335,sprayed,2,8,NA,NA,NA,58,4,NA,53,NA,53,91.37931034,NA,NA,NA,NA
127,28,6/12/2023,Mid Dome,168.5080235,-45.6120335,sprayed,2,8,NA,NA,NA,45,3,NA,38,NA,38,84.44444444,NA,NA,NA,NA
128,28,6/12/2023,Mid Dome,168.5080235,-45.6120335,sprayed,2,8,NA,NA,NA,49,3,NA,40,NA,40,81.63265306,NA,NA,NA,NA
129,28,6/12/2023,Mid Dome,168.5080235,-45.6120335,sprayed,2,8,NA,NA,NA,22,1,NA,20,NA,19,86.36363636,NA,NA,NA,NA
130,35,18/01/2024,Pukaki,170.1463885,-44.20836936,unsprayed,2,NA,NA,NA,NA,81,2,NA,76,NA,76,93.82716049,NA,NA,NA,NA
131,35,18/01/2024,Pukaki,170.1463885,-44.20836936,unsprayed,2,NA,NA,NA,NA,88,2,NA,81,NA,81,92.04545455,NA,NA,NA,NA
132,35,18/01/2024,Pukaki,170.1463885,-44.20836936,unsprayed,2,NA,NA,NA,NA,77,1,NA,70,NA,70,90.90909091,NA,NA,NA,NA
133,27,6/12/2023,Mid Dome,168.5080235,-45.6120335,sprayed,2,8,NA,NA,NA,49,3,NA,45,NA,45,91.83673469,NA,NA,NA,NA
134,27,6/12/2023,Mid Dome,168.5080235,-45.6120335,sprayed,10,8,NA,NA,NA,53,4,NA,45,NA,45,84.90566038,NA,NA,NA,NA
135,27,6/12/2023,Mid Dome,168.5080235,-45.6120335,sprayed,10,8,NA,NA,NA,50,6,NA,38,NA,38,76,NA,NA,NA,NA
